Repo_Name,Total Repo Leaks,Guarddog findings,Safety findings,Critical Vulns,High Vulns,Medium Vulns,Low Vulns
Discord-Vanity-Url-Sniper,7,0,0,0,1,0,0
dvpwa,0,3,3,1,0,1,0
vcfpy,4,0,0,1,5,2,0
Telegram-SedenUserBot,1,0,0,6,57,0,0
pandas_alive,0,26,7,0,0,0,0
content-engine,0,1,1,0,0,0,0
TwinDiffusion,0,0,0,0,3,0,0
osintr,0,0,0,0,10,0,0
BRANDED-ROBOT,9,10,4,8,46,0,0
vaurien,0,0,3,2,3,0,0
trapster-community,1,1,0,0,4,2,0
xsrfprobe,0,0,0,4,6,1,0
wechat_article,0,0,0,2,24,0,0
EveryoneNobel,0,0,0,8,7,0,0
MemVR,0,38,5,0,19,0,0
api4sensevoice,0,4,0,0,0,0,0
nas-tools,2,19,17,43,113,21,3
xsrfprobe,0,0,0,4,6,1,0
cdn_cert,0,3,1,1,3,1,0
SearchGPT,0,1,0,0,0,0,0
proXXy,0,2,3,1,14,0,0
Infinite-ISP,0,3,2,0,7,0,0
ROMANCE,0,27,12,1,4,0,0
DreamMat,0,2,2,4,33,2,0
BananaDropFarm,0,1,0,0,7,0,0
python-zulip-api,75,1,0,31,40,9,0
alas-with-dashboard,5,27,21,30,67,0,9
EmbyToAlist,0,1,1,0,0,1,0
py.wtf,19,18,0,0,0,1,1
difface,0,1,0,8,89,1,0
virnet,0,2,2,1,9,0,0
MuseHeart-MusicBot,0,4,0,25,16,4,0
OuteTTS,0,1,0,2,11,0,0
reevo,0,4,1,13,58,0,0       
OmniGen-ComfyUI,0,0,0,1,2,0,0
graphrag-practice-chinese,0,1,0,0,0,0,0
CLAPSep,0,1,1,1,8,0,0
logdata-anomaly-miner,59,2,1,64,68,3,0
llumnix,0,2,0,2,6,0,0
streamflow,2,3,1,1,13,3,0
thunor-web,0,8,0,4,8,1,1
ion-python,0,9,2,0,12,0,0
ai8x-synthesis,0,6,1,1,26,0,0
hadith-every-hour,0,0,0,0,2,0,0
ll-mtproto,0,2,0,0,6,1,0
ELMo-Tune,0,4,5,6,6,0,0
Music,0,6,0,0,1,0,0
nbss,0,5,0,5,15,0,0
Axobot,1,3,0,2,45,0,0
redroid-script,1,1,2,2,33,2,0
sydom,0,10,0,0,31,0,0
trex,0,0,4,0,1,0,0
Dragon,0,0,0,0,39,0,0
monster-siren-download,0,0,0,0,0,0,0
adata,2,2,0,1,7,0,1
FlareSolverr,0,3,3,5,26,0,0
cage,0,0,0,0,23,0,3
0din,1,0,0,2,4,1,0
mABC,0,0,0,1,6,0,0
SOLANA_SNIPER_BOT,0,0,0,1,12,0,0
toraniko,0,1,0,0,0,0,0
x12306,0,0,0,0,3,1,0
wechat_article,0,0,0,2,24,0,0
SwinUnet3D,0,0,1,2,0,0,0
textual-paint,1,7,1,11,13,0,3
midi-converter,0,0,0,0,0,0,0
funding-rate-arbitrage,152,5,1,0,10,0,0
sydom,0,5,0,0,31,0,0
stupidocr,0,15,5,1,0,0,0
iptv,0,0,3,3,3,0,0
lift,0,0,0,3,6,1,0
tapes,0,4,1,9,47,0,0
ownfoil,0,0,1,0,3,0,0
a4ksubtitles,1,0,0,4,15,0,0
web-survivalscan,0,1,3,0,3,0,0
sensAI,0,5,2,26,37,0,0
spacy-fi,0,5,0,0,6,0,0
segad,0,3,1,0,1,0,0
libem,0,0,0,5,28,4,0
pixoo-rest,0,1,0,0,0,0,0
GitHub520,0,1,0,0,0,0,0
horus,0,4,2,22,31,0,0
meshbot,0,29,8,0,0,0,0
koboldai,0,4,6,3,16,0,1
dfktools,0,0,0,0,0,0,0
anubis,0,0,0,0,1,0,0
infrastructure,20,2,0,40,45,0,0
sa818,0,0,0,0,0,0,0
Blinks,0,0,0,1,13,0,0
robofinder,0,0,0,0,0,0,0
o365spray,0,0,0,3,15,0,0
envelope,0,8,6,0,0,0,0
Dragon,0,0,0,0,39,0,0
pyfaas4i,0,0,0,2,4,0,0
freqtrade,622,13,2,19,32,3,0
keras,3,3,0,8,51,1,0
face_recognition,0,1,0,0,2,0,0
grok-1,0,1,0,2,4,0,0
PaddleOCR,2,0,0,45,106,0,7
